Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-11-18,Crimes of the Future,2022,https://boxd.it/3rnDAP,2,,,2022-11-17
2022-11-18,Weird: The Al Yankovic Story,2022,https://boxd.it/3rvjN1,3,,,2022-11-18
2022-11-19,Terrifier,2016,https://boxd.it/3rwtuF,3,,,2022-11-18
2022-11-20,Terrifier 2,2022,https://boxd.it/3rXjCj,2.5,,,2022-11-20
2022-11-21,"Elvira, Mistress of the Dark",1988,https://boxd.it/3rYcpJ,2.5,,,2022-11-20
2022-11-21,Black Panther: Wakanda Forever,2022,https://boxd.it/3scnFr,3.5,,,2022-11-21
2022-11-23,The Hot Spot,1990,https://boxd.it/3spEhx,4.5,,,2022-11-22
2022-11-23,Crash,1996,https://boxd.it/3spHyL,2.5,,,2022-11-22
2022-11-25,Triangle of Sadness,2022,https://boxd.it/3sOQ5N,5,,,2022-11-25
2022-11-28,The Guardians of the Galaxy Holiday Special,2022,https://boxd.it/3tH65x,3,,,2022-11-28
2022-12-04,Dallas Buyers Club,2013,https://boxd.it/3uFsrP,3.5,,,2022-12-03
2022-12-05,Unbreakable,2000,https://boxd.it/3uSQvH,3.5,,,2022-12-04
2022-12-07,Top Gun,1986,https://boxd.it/3vrNID,3,,,2022-12-07
2022-12-07,Top Gun: Maverick,2022,https://boxd.it/3vuu6h,4,,,2022-12-07
2022-12-08,Split,2016,https://boxd.it/3vvqbz,3,,,2022-12-07
2022-12-08,Glass,2019,https://boxd.it/3vwbn3,3,,,2022-12-07
2022-12-08,Napoleon Dynamite,2004,https://boxd.it/3vGb33,5,,,2022-12-08
2022-12-09,Braveheart,1995,https://boxd.it/3vJ6Ht,4,,,2022-12-08
2022-12-09,Prometheus,2012,https://boxd.it/3vLRzl,3,,,2022-12-09
2022-12-10,Guillermo del Toro's Pinocchio,2022,https://boxd.it/3vUIyh,4,,,2022-12-09
2022-12-10,Closer,2004,https://boxd.it/3vW23F,3,,,2022-12-10
2022-12-11,Battle Royale,2000,https://boxd.it/3w5GvH,3,,,2022-12-10
2022-12-14,Dragon Ball Super: Super Hero,2022,https://boxd.it/3x0XCT,3.5,,,2022-12-14
2022-12-16,Aftersun,2022,https://boxd.it/3xePiT,3.5,,,2022-12-15
2022-12-16,Bones and All,2022,https://boxd.it/3xoYvH,3,,,2022-12-16
2022-12-17,The Banshees of Inisherin,2022,https://boxd.it/3xwf7V,4,,,2022-12-17
2022-12-18,Amsterdam,2022,https://boxd.it/3xI6ZX,3,,,2022-12-17
2022-12-24,Glass Onion: A Knives Out Mystery,2022,https://boxd.it/3zCuK9,4.5,,,2022-12-24
2023-01-02,Moonrise Kingdom,2012,https://boxd.it/3CKDsV,4,,,2023-01-01
2023-01-04,The Menu,2022,https://boxd.it/3DC4xT,4.5,,,2023-01-03
2023-01-07,My Year of Dicks,2022,https://boxd.it/3F3lXR,4,,,2023-01-07
2023-01-10,Bullet Train,2022,https://boxd.it/3G3ssP,3.5,,,2023-01-09
2023-01-16,Wicked City,1987,https://boxd.it/3I7GPJ,3.5,,,2023-01-15
2023-01-16,Bio Hunter,1995,https://boxd.it/3I7HaR,3,,,2023-01-15
2023-01-19,Andrew Schulz: Infamous,2022,https://boxd.it/3J5GZT,4,,,2023-01-18
2023-01-31,To Die For,1995,https://boxd.it/3N71lN,2.5,,,2023-01-31
2023-02-02,Babylon,2022,https://boxd.it/3Nu5Wf,3.5,,,2023-02-01
2023-02-06,Spring Breakers,2012,https://boxd.it/3OEzeV,1.5,,,2023-02-05
2023-02-07,Solaris,1972,https://boxd.it/3P530L,3,,,2023-02-07
2023-02-07,T2 Trainspotting,2017,https://boxd.it/3Phkgl,3.5,,,2023-02-07
2023-02-11,A Cure for Wellness,2016,https://boxd.it/3Q0RGV,4,,,2023-02-10
2023-02-12,Incantation,2022,https://boxd.it/3QoG6b,3,,,2023-02-12
2023-02-12,Gonjiam: Haunted Asylum,2018,https://boxd.it/3QoGmD,3,,,2023-02-12
2023-02-15,Infinity Pool,2023,https://boxd.it/3RarAh,4.5,,,2023-02-14
2023-02-18,Porco Rosso,1992,https://boxd.it/3RWzjz,3,,,2023-02-18
